#from fluorescence xafs of SrTiO3
#Energy_(eV) f''_(electrons)
5.016708529991668911e+03 3.725032005552720626e+00
5.017452672452096522e+03 3.691777591446976814e+00
5.018196814912524133e+03 3.681525129014165287e+00
5.018940957372951743e+03 3.672795540535471304e+00
5.019685099833379354e+03 3.665435739542898474e+00
5.020429242293806965e+03 3.658089310989282694e+00
5.021173384754234576e+03 3.646650414801903217e+00
5.021917527214662186e+03 3.620323996683486811e+00
5.022661669675089797e+03 3.593260663305168912e+00
5.023405812135517408e+03 3.566368837193297558e+00
5.024149954595945019e+03 3.546598899606245858e+00
5.024894097056372630e+03 3.542562965836315136e+00
5.025638239516800240e+03 3.543991948572850603e+00
5.026382381977227851e+03 3.555612454083846075e+00
5.027374571924465272e+03 3.569630206226570124e+00
5.028118714384892883e+03 3.583966717834262461e+00
5.028862856845320493e+03 3.595256343573846713e+00
5.029855046792557914e+03 3.601385093070724075e+00
5.030599189252985525e+03 3.598318011653793391e+00
5.031343331713413136e+03 3.592968002685647200e+00
5.032335521660650556e+03 3.585378568256787357e+00
5.033079664121078167e+03 3.578076043990946697e+00
5.034071854068313769e+03 3.570948827376475343e+00
5.034815996528741380e+03 3.573045225566102268e+00
5.035808186475978800e+03 3.584365192452389604e+00
5.036552328936406411e+03 3.620536514928389238e+00
5.037544518883643832e+03 3.663070918774240958e+00
5.038288661344071443e+03 3.721740210332677545e+00
5.039280851291308863e+03 3.783454792579051151e+00
5.040273041238544465e+03 3.846046026981055022e+00
5.041017183698972076e+03 3.887702968616142396e+00
5.042009373646209497e+03 3.918100960505368047e+00
5.043001563593446917e+03 3.934668411431211155e+00
5.043993753540682519e+03 3.950488448923340279e+00
5.044737896001110130e+03 3.963097860114164650e+00
5.045730085948347551e+03 3.971549032256271872e+00
5.046722275895584971e+03 3.975116342232694500e+00
5.047714465842822392e+03 3.978687049370855711e+00
5.048706655790057994e+03 3.996375447249732371e+00
5.049698845737295414e+03 4.035092450436461142e+00
5.050691035684532835e+03 4.077797923433177374e+00
5.051683225631768437e+03 4.120908749113087133e+00
5.052675415579005858e+03 4.170506894165437295e+00
5.053667605526243278e+03 4.224930596311637920e+00
5.054659795473478880e+03 4.282073188568454647e+00
5.055651985420716301e+03 4.337834970964614456e+00
5.056644175367953721e+03 4.393973511127757803e+00
5.057884412801999133e+03 4.447953935826824967e+00
5.058876602749236554e+03 4.484247513980306188e+00
5.059868792696473975e+03 4.496956396092965491e+00
5.060860982643709576e+03 4.488823027712365743e+00
5.062101220077756807e+03 4.443421178203925237e+00
5.063093410024992409e+03 4.363534201022401859e+00
5.064085599972229829e+03 4.270811777774724760e+00
5.065325837406277060e+03 4.174355869823100917e+00
5.066318027353512662e+03 4.080200179150923034e+00
5.067558264787559892e+03 3.992596285729085093e+00
5.068550454734795494e+03 3.917970979496801842e+00
5.069790692168842725e+03 3.869075208219324047e+00
5.070782882116078326e+03 3.836591601204725421e+00
5.072023119550125557e+03 3.817192769031518829e+00
5.073263356984170969e+03 3.823788895554588674e+00
5.074255546931408389e+03 3.889443352726485337e+00
5.075495784365453801e+03 3.973727345707051661e+00
5.076736021799501032e+03 4.059634599067172722e+00
5.077728211746736633e+03 4.130977654416623679e+00
5.078968449180783864e+03 4.181355374114366086e+00
5.080208686614829276e+03 4.201626269743076847e+00
5.081448924048874687e+03 4.189923710236306498e+00
5.082441113996112108e+03 4.171507202629166855e+00
5.083681351430159339e+03 4.140670310115435626e+00
5.084921588864204750e+03 4.099361868106393025e+00
5.086161826298250162e+03 4.043317880224270411e+00
5.087402063732297393e+03 3.987969306550745774e+00
5.088642301166342804e+03 3.932422703727444624e+00
5.089882538600388216e+03 3.879727033047526419e+00
5.091122776034435446e+03 3.827658981796163040e+00
5.092363013468480858e+03 3.811197189242680139e+00
5.093603250902528089e+03 3.807175384693572084e+00
5.095091535823383310e+03 3.821792558332333556e+00
5.096331773257428722e+03 3.836729882753360243e+00
5.097572010691474134e+03 3.841290366452912775e+00
5.098812248125521364e+03 3.833998630943695307e+00
5.100052485559566776e+03 3.808350005145316519e+00
5.101540770480421997e+03 3.766738283713742419e+00
5.102781007914469228e+03 3.725788473126344424e+00
5.104021245348514640e+03 3.689687479751477817e+00
5.105509530269369861e+03 3.660426874062156166e+00
5.106749767703415273e+03 3.636076185237649749e+00
5.108238052624270495e+03 3.624627035351705384e+00
5.109478290058317725e+03 3.620270542197541186e+00
5.110966574979172947e+03 3.627870851890863335e+00
5.112206812413218358e+03 3.641346430473357820e+00
5.113695097334073580e+03 3.657834796120002174e+00
5.114935334768120811e+03 3.681237971892786121e+00
5.116423619688976032e+03 3.711184677978300428e+00
5.117911904609831254e+03 3.741340341989860541e+00
5.119152142043876665e+03 3.768860421307423714e+00
5.120640426964731887e+03 3.796296146837068175e+00
5.122128711885587109e+03 3.824741418938212512e+00
5.123368949319634339e+03 3.854016431879562887e+00
5.124857234240489561e+03 3.890501502967012915e+00
5.126345519161344782e+03 3.930530360396064182e+00
5.127833804082200004e+03 3.976182729623797041e+00
5.129322089003055225e+03 4.022310369828669074e+00
5.130810373923910447e+03 4.055027048203682760e+00
5.132298658844765669e+03 4.063829209887714455e+00
5.133786943765620890e+03 4.055667138345849132e+00
5.135275228686476112e+03 4.037573795230929186e+00
5.136763513607331333e+03 4.016045920999783192e+00
5.138251798528186555e+03 3.988631920915557405e+00
5.139740083449041776e+03 3.961275836712414566e+00
5.141228368369896998e+03 3.934193019639848909e+00
5.142716653290752220e+03 3.907278415527114745e+00
5.144204938211607441e+03 3.884562844593355102e+00
5.145693223132462663e+03 3.869893522063262647e+00
5.147429555540127694e+03 3.855015769104833012e+00
5.148917840460982916e+03 3.840766925860429559e+00
5.150406125381838137e+03 3.832558590810603238e+00
5.152142457789503169e+03 3.824155186562256947e+00
5.153630742710358390e+03 3.816026215274899158e+00
5.155119027631213612e+03 3.799112712629327593e+00
5.156855360038878644e+03 3.781552147243702588e+00
5.158343644959733865e+03 3.763992626447357992e+00
5.160079977367398897e+03 3.746255562395228722e+00
5.161568262288254118e+03 3.728853519466974742e+00
5.163304594695917331e+03 3.712614300268762157e+00
5.164792879616772552e+03 3.721585639850560234e+00
5.166529212024437584e+03 3.741595847260361207e+00
5.168017496945292805e+03 3.761948734775134362e+00
5.169753829352957837e+03 3.774006444803938098e+00
5.171490161760622868e+03 3.783038016796066216e+00
5.173226494168286081e+03 3.792089630782032650e+00
5.174714779089141302e+03 3.804557903261768015e+00
5.176451111496806334e+03 3.816812205019043169e+00
5.178187443904471365e+03 3.829956321470379788e+00
5.179923776312136397e+03 3.843141500066927119e+00
5.181660108719799609e+03 3.856367969316818467e+00
5.183148393640654831e+03 3.863986076883361598e+00
5.184884726048319862e+03 3.840827712166880570e+00
5.186621058455984894e+03 3.811221119906709642e+00
5.188357390863649925e+03 3.781819198813579419e+00
5.190093723271313138e+03 3.756290339886256824e+00
5.191830055678978169e+03 3.739579386230598157e+00
5.193566388086643201e+03 3.732129805701419389e+00
5.195302720494306413e+03 3.724694869469638459e+00
5.197287100388781255e+03 3.717024349506382386e+00
5.199023432796446286e+03 3.700814484891929546e+00
5.200759765204109499e+03 3.684271117658840744e+00
5.202496097611774530e+03 3.665727750924524297e+00
5.204232430019439562e+03 3.647276966301203682e+00
5.206216809913912584e+03 3.633327027968548339e+00
5.207953142321577616e+03 3.623788604357957244e+00
5.209689474729242647e+03 3.614273455513661748e+00
5.211673854623715670e+03 3.604553863039542616e+00
5.213410187031380701e+03 3.601888519553018142e+00
5.215146519439045733e+03 3.605794668710629924e+00
5.217130899333518755e+03 3.614808469232389854e+00
5.218867231741183787e+03 3.624070812912932649e+00
5.220851611635656809e+03 3.631725389285265670e+00
5.222587944043321841e+03 3.639623673952881777e+00
5.224572323937794863e+03 3.647754189668310332e+00
5.226556703832269704e+03 3.662779752323820137e+00
5.228293036239932917e+03 3.692712915736696466e+00
5.230277416134407758e+03 3.731163814661417444e+00
5.232261796028880781e+03 3.769967244517971938e+00
5.233998128436545812e+03 3.801957833373678763e+00
5.235982508331018835e+03 3.804306217977559967e+00
5.237966888225493676e+03 3.790799544431510792e+00
5.239951268119966699e+03 3.777337363596759978e+00
5.241687600527631730e+03 3.766149735418911515e+00
5.243671980422104753e+03 3.754759504713533147e+00
5.245656360316579594e+03 3.738010931239569512e+00
5.247640740211052616e+03 3.715353098194690062e+00
5.249625120105525639e+03 3.692840757959709119e+00
5.251609500000000480e+03 3.688257634057394263e+00
5.253593879894473503e+03 3.688185494794383956e+00
5.255578259788948344e+03 3.688553782382324453e+00
5.257562639683421366e+03 3.689572502219259142e+00
5.259547019577894389e+03 3.689944217852080932e+00
5.261531399472369230e+03 3.684266550972272736e+00
5.263763826853652063e+03 3.675996664425097649e+00
5.265748206748125085e+03 3.667968452307849958e+00
5.267732586642599927e+03 3.661612243419060775e+00
5.269716966537072949e+03 3.656874652475067045e+00
5.271949393918355781e+03 3.654720608865279718e+00
5.273933773812830623e+03 3.650024623262288159e+00
5.275918153707303645e+03 3.642538417614927138e+00
5.278150581088586478e+03 3.631072672049592942e+00
5.280134960983061319e+03 3.619855971954246243e+00
5.282119340877534341e+03 3.627621765382376573e+00
5.284351768258817174e+03 3.652025116012444617e+00
5.286336148153290196e+03 3.676791941454603752e+00
5.288568575534573029e+03 3.678854778988211116e+00
5.290552955429047870e+03 3.678624711657475288e+00
5.292785382810330702e+03 3.674382103202116667e+00
5.295017810191613535e+03 3.670149610185930111e+00
5.297002190086086557e+03 3.667380899151203355e+00
5.299234617467371208e+03 3.665374735144030005e+00
5.301467044848654041e+03 3.665071707252681499e+00
5.303451424743127063e+03 3.663288605699895228e+00
5.305683852124409896e+03 3.657659346521383359e+00
5.307916279505692728e+03 3.646022682413137428e+00
5.310148706886975560e+03 3.628331480863128622e+00
5.312133086781450402e+03 3.610928624470358450e+00
5.314365514162733234e+03 3.603884045536734693e+00
5.316597941544016066e+03 3.601670844111446002e+00
5.318830368925298899e+03 3.599615811642575824e+00
5.321062796306581731e+03 3.597422917361818406e+00
5.323295223687864564e+03 3.594885610726191061e+00
5.325527651069147396e+03 3.590158447393490437e+00
5.327760078450430228e+03 3.581456839241601298e+00
5.329992505831713061e+03 3.572785270620203235e+00
5.332224933212995893e+03 3.573443715530959963e+00
5.334705408081088535e+03 3.573924811459561646e+00
5.336937835462371368e+03 3.575640608956739630e+00
5.339170262843654200e+03 3.577408215042417350e+00
5.341402690224937032e+03 3.579199105286244631e+00
5.343635117606219865e+03 3.579739423111226948e+00
5.346115592474312507e+03 3.580122746626984043e+00
5.348348019855595339e+03 3.586370523492347751e+00
5.350580447236878172e+03 3.592651428684734860e+00
5.353060922104970814e+03 3.594198253036357649e+00
5.355293349486253646e+03 3.593900703201788005e+00
5.357773824354346289e+03 3.589029729375875277e+00
5.360006251735629121e+03 3.579726869706209236e+00
5.362238679116911953e+03 3.566654787237193425e+00
5.364719153985004596e+03 3.553504783522784205e+00
5.367199628853097238e+03 3.544280191310483996e+00
5.369432056234380070e+03 3.545183818376739904e+00
5.371912531102470894e+03 3.545989318299724857e+00
5.374144958483755545e+03 3.543176838572275500e+00
5.376625433351846368e+03 3.539199294284721020e+00
5.379105908219939010e+03 3.535278885744937316e+00
5.381338335601221843e+03 3.530522146404517336e+00
5.383818810469314485e+03 3.525338552649293078e+00
5.386299285337407127e+03 3.518953767750690798e+00
5.388779760205497951e+03 3.512640036815811051e+00
5.391260235073590593e+03 3.513725232825962497e+00
5.393740709941683235e+03 3.515814863225137810e+00
5.395973137322966068e+03 3.523799611914022467e+00
5.398453612191058710e+03 3.531853057525951911e+00
5.400934087059149533e+03 3.539943355161968785e+00
5.403414561927242175e+03 3.547188850710111918e+00
5.405895036795334818e+03 3.547571259154500112e+00
5.408375511663427460e+03 3.543190668954664169e+00
5.411104034018328093e+03 3.516149292453964126e+00
5.413584508886420736e+03 3.489381393254018526e+00
5.416064983754513378e+03 3.484704033646927268e+00
5.418545458622604201e+03 3.481270191454168383e+00
5.421025933490696843e+03 3.483220966659342999e+00
5.423506408358789486e+03 3.485248443529367801e+00
5.426234930713690119e+03 3.482447103946050504e+00
5.428715405581782761e+03 3.476456706200070190e+00
5.431195880449875403e+03 3.469003920265040009e+00
5.433924402804776037e+03 3.461688194497591908e+00
5.436404877672868679e+03 3.458306605798315392e+00
5.438885352540961321e+03 3.458654973980743730e+00
5.441613874895861954e+03 3.459112025521811962e+00
5.444094349763954597e+03 3.456943658298715416e+00
5.446822872118855230e+03 3.441817939687663142e+00
5.449303346986947872e+03 3.426705116846024968e+00
5.452031869341850324e+03 3.424021869471448820e+00
5.454760391696750958e+03 3.429757806618702443e+00
5.457240866564843600e+03 3.436933014353892979e+00
5.459969388919744233e+03 3.444204407925218092e+00
5.462449863787836875e+03 3.449066963545300180e+00
5.465178386142737509e+03 3.452074899830138488e+00
5.467906908497639961e+03 3.452806679224483144e+00
5.470635430852540594e+03 3.453497700487289546e+00
5.473115905720633236e+03 3.450086366416788231e+00
5.475844428075533870e+03 3.442175130047303799e+00
5.478572950430436322e+03 3.434204264068328349e+00
5.481301472785336955e+03 3.428176005827489714e+00
5.484029995140239407e+03 3.427288345111346501e+00
5.486758517495140040e+03 3.426287825537066567e+00
5.489487039850042493e+03 3.423161677183274687e+00
5.492215562204943126e+03 3.405235509459410892e+00
5.494944084559843759e+03 3.387233647135143855e+00
5.497672606914746211e+03 3.388624348449057688e+00
5.500401129269646844e+03 3.391702913382376394e+00
5.503129651624549297e+03 3.396549558481091413e+00
5.505858173979449930e+03 3.401230837484726877e+00
5.508586696334352382e+03 3.404736981924148420e+00
5.511563266176062825e+03 3.404455881950810614e+00
5.514291788530963458e+03 3.402179680525065919e+00
5.517020310885865911e+03 3.399707872604928127e+00
5.519996880727576354e+03 3.399526827673372331e+00
5.522725403082476987e+03 3.399302040839126349e+00
5.525453925437379439e+03 3.397604635202891021e+00
5.528430495279089882e+03 3.395337257250123475e+00
5.531159017633990516e+03 3.391798133488994171e+00
5.533887539988892968e+03 3.386190523766337002e+00
5.536864109830603411e+03 3.380133307745724291e+00
5.539592632185504044e+03 3.374249782879020554e+00
5.542569202027214487e+03 3.370200802115376426e+00
5.545545771868924930e+03 3.366139865521506902e+00
5.548274294223827383e+03 3.362325283450853242e+00
5.551250864065537826e+03 3.359625939479771617e+00
5.553979386420438459e+03 3.360609148813068714e+00
5.556955956262148902e+03 3.363310814413658534e+00
5.559932526103859345e+03 3.370983028485034172e+00
5.562909095945571607e+03 3.378548662757260068e+00
5.565637618300472241e+03 3.380595898608510286e+00
5.568614188142182684e+03 3.382166940349133899e+00
5.571590757983893127e+03 3.383451446234981841e+00
5.574567327825603570e+03 3.384680521796460617e+00
5.577543897667314013e+03 3.381040298489923934e+00
5.580520467509026275e+03 3.376196001980868111e+00
5.583497037350736719e+03 3.367240711066368242e+00
5.586473607192447162e+03 3.357903437411311920e+00
5.589450177034157605e+03 3.349030972918389359e+00
5.592426746875868048e+03 3.339374474153992800e+00
5.595403316717578491e+03 3.332358504372138874e+00
5.598379886559288934e+03 3.322686913661459851e+00
5.601356456400999377e+03 3.312886185828041619e+00
5.604333026242709821e+03 3.303228902024830216e+00
5.607309596084420264e+03 3.295110772345355432e+00
5.610286165926132526e+03 3.291633399919068115e+00
5.613510783254650960e+03 3.295191368676991139e+00
5.616487353096361403e+03 3.299198923278232165e+00
5.619463922938073665e+03 3.302603858204011367e+00
5.622688540266592099e+03 3.305572963594874736e+00
5.625665110108302542e+03 3.308977557412335457e+00
5.628641679950014804e+03 3.313294839238908107e+00
5.631866297278533239e+03 3.319684384257203469e+00
5.634842867120243682e+03 3.324225820989536118e+00
5.638067484448763935e+03 3.326015549755577005e+00
5.641044054290474378e+03 3.327375702051728723e+00
5.644268671618994631e+03 3.327635544007991886e+00
5.647245241460705074e+03 3.327086330849311491e+00
5.650469858789225327e+03 3.325165066778817291e+00
5.653694476117745580e+03 3.319687261332513462e+00
5.656671045959456023e+03 3.315506346721524444e+00
5.659895663287976276e+03 3.310978992948433230e+00
5.663120280616494711e+03 3.306757425197358380e+00
5.666096850458206973e+03 3.304726571890168607e+00
5.669321467786725407e+03 3.302560922463934290e+00
5.672546085115245660e+03 3.302819052894511387e+00
5.675770702443765913e+03 3.300733157832079989e+00
